STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1924,September,Base December 2023=100,Base = 100,
Consumer Price Index,1924,October,Base July 1914=100,Base = 100,193
Consumer Price Index,1924,October,Base August 1947=100,Base = 100,
Consumer Price Index,1924,October,Base August 1953=100,Base = 100,
Consumer Price Index,1924,October,Base November 1968=100,Base = 100,
Consumer Price Index,1924,October,Base November 1975=100,Base = 100,
Consumer Price Index,1924,October,Base November 1982=100,Base = 100,
Consumer Price Index,1924,October,Base November 1989=100,Base = 100,
Consumer Price Index,1924,October,Base November 1996=100,Base = 100,
Consumer Price Index,1924,October,Base December 2001=100,Base = 100,
Consumer Price Index,1924,October,Base December 2006=100,Base = 100,
Consumer Price Index,1924,October,Base December 2011=100,Base = 100,
Consumer Price Index,1924,October,Base December 2016=100,Base = 100,
Consumer Price Index,1924,October,Base December 2023=100,Base = 100,
Consumer Price Index,1924,November,Base July 1914=100,Base = 100,193
Consumer Price Index,1924,November,Base August 1947=100,Base = 100,
Consumer Price Index,1924,November,Base August 1953=100,Base = 100,
Consumer Price Index,1924,November,Base November 1968=100,Base = 100,
Consumer Price Index,1924,November,Base November 1975=100,Base = 100,
Consumer Price Index,1924,November,Base November 1982=100,Base = 100,
Consumer Price Index,1924,November,Base November 1989=100,Base = 100,
Consumer Price Index,1924,November,Base November 1996=100,Base = 100,
Consumer Price Index,1924,November,Base December 2001=100,Base = 100,
Consumer Price Index,1924,November,Base December 2006=100,Base = 100,
Consumer Price Index,1924,November,Base December 2011=100,Base = 100,
Consumer Price Index,1924,November,Base December 2016=100,Base = 100,
Consumer Price Index,1924,November,Base December 2023=100,Base = 100,
Consumer Price Index,1924,December,Base July 1914=100,Base = 100,193
Consumer Price Index,1924,December,Base August 1947=100,Base = 100,
Consumer Price Index,1924,December,Base August 1953=100,Base = 100,
Consumer Price Index,1924,December,Base November 1968=100,Base = 100,
